date,time,temp,kps_air
1879-06-05,NA,76,299850
1879-06-07,PM,72,299740
1879-06-07,PM,72,299900
1879-06-07,PM,72,300070
1879-06-07,PM,72,299930
1879-06-07,PM,72,299850
1879-06-09,PM,83,299950
1879-06-09,PM,83,299980
1879-06-09,PM,83,299980
1879-06-09,PM,83,299880
1879-06-09,PM,83,300000
1879-06-10,PM,90,299980
1879-06-10,PM,90,299930
1879-06-12,AM,71,299650
1879-06-12,AM,71,299760
1879-06-12,AM,71,299810
1879-06-13,AM,72,300000
1879-06-13,AM,72,300000
1879-06-13,AM,72,299960
1879-06-13,PM,79,299960
1879-06-13,PM,79,299960
1879-06-13,PM,79,299940
1879-06-13,PM,79,299960
1879-06-13,PM,79,299940
1879-06-13,PM,79,299880
1879-06-13,PM,79,299800
1879-06-14,AM,64,299850
1879-06-14,AM,64,299880
1879-06-14,AM,65,299900
1879-06-14,AM,66,299840
1879-06-14,AM,67,299830
1879-06-14,PM,84,299790
1879-06-14,PM,85,299810
1879-06-14,PM,84,299880
1879-06-14,PM,84,299880
1879-06-14,PM,84,299830
1879-06-17,AM,62,299800
1879-06-17,AM,63,299790
1879-06-17,AM,64,299760
1879-06-17,PM,77,299800
1879-06-17,PM,77,299880
1879-06-17,PM,77,299880
1879-06-17,PM,77,299880
1879-06-17,PM,77,299860
1879-06-18,AM,58,299720
1879-06-18,AM,58,299720
1879-06-18,AM,59,299620
1879-06-18,PM,75,299860
1879-06-18,PM,75,299970
1879-06-18,PM,75,299950
1879-06-20,AM,60,299880
1879-06-20,AM,61,299910
1879-06-20,AM,62,299850
1879-06-20,AM,63,299870
1879-06-20,PM,78,299840
1879-06-20,PM,79,299840
1879-06-20,PM,80,299850
1879-06-20,PM,79,299840
1879-06-20,PM,79,299840
1879-06-20,PM,79,299840
1879-06-21,AM,61,299890
1879-06-21,AM,62,299810
1879-06-21,AM,63,299810
1879-06-21,AM,64,299820
1879-06-21,AM,65,299800
1879-06-21,PM,80,299770
1879-06-21,PM,81,299760
1879-06-21,PM,82,299740
1879-06-21,PM,82,299750
1879-06-21,PM,81,299760
1879-06-23,PM,89,299910
1879-06-23,PM,89,299920
1879-06-23,PM,90,299890
1879-06-23,PM,90,299860
1879-06-23,PM,90,299880
1879-06-24,AM,72,299720
1879-06-24,AM,73,299840
1879-06-24,AM,74,299850
1879-06-24,AM,75,299850
1879-06-24,AM,76,299780
1879-06-26,PM,86,299890
1879-06-26,PM,86,299840
1879-06-27,AM,73,299780
1879-06-27,AM,74,299810
1879-06-27,AM,75,299760
1879-06-27,AM,75,299810
1879-06-27,AM,76,299790
1879-06-27,AM,76,299810
1879-06-30,PM,85,299820
1879-06-30,PM,86,299850
1879-06-30,PM,86,299870
1879-06-30,PM,86,299870
1879-07-01,PM,83,299810
1879-07-01,PM,84,299740
1879-07-01,PM,86,299810
1879-07-01,PM,86,299940
1879-07-02,PM,86,299950
1879-07-02,PM,86,299800
1879-07-02,PM,86,299810
1879-07-02,PM,85,299870
